DisplayId,Location,nLeaps,LeapDuration,LeapRate,Nseeds,ShadowIntensity,VegetationDensity,Disturbance,Truck,Fire,Mower,LocationID,BorderDistance,RoadDistance,LakeDistance,DawnTime,DayYear,Nest20,Nest10,RecordTime,RecordDate,BreedingSeason,Longitude,Latitude
D01,ar,18,683.778,14.826,2329.68,2.179,0.212,0,0,1,1,ar,18.091,31.429,576.507,0.9411,30,No,No,6:36,31-01-18,2017_2018,-47.87207496,-15.75507296
D02,ar,17,440.176,16.132,506.4,0.408,0.184,0,0,1,1,ar,71.636,81.816,631.9,1.5911,30,No,No,7:15,31-01-18,2017_2018,-47.87253496,-15.75530598
D03,ar,16,372.375,17.114,435.6,1.352,0.093,0,0,0,0,ar,114.462,125.36,568.247,2.3411,30,No,No,8:00,31-01-18,2017_2018,-47.872656,-15.75434801
D04,co,18,510.111,19.145,950.733,1.612,0.269,0,0,0,0,co,9.84,329.031,246.436,1.3769,18,No,No,6:55,19-01-18,2017_2018,-47.85628899,-15.76161596
D05,co,14,432,15.085,842.94,0.505,0.302,0,0,0,0,co,24.722,349.586,231.269,1.5103,18,No,No,7:03,19-01-18,2017_2018,-47.85614801,-15.76147699
D06,co,11,516.727,10.24,453.66,1.865,0.266,0,0,0,0,co,72.097,392.315,74.254,2.7936,18,No,No,8:20,19-01-18,2017_2018,-47.85450599,-15.76232901
D07,co,23,442.304,16.554,600.02,2.876,0.269,0,0,0,0,co,81.746,401.27,84.443,1.6422,23,No,No,7:14,24-01-18,2017_2018,-47.85474001,-15.76200203
D08,co,18,452.167,13.745,872.54,2.496,0.304,0,0,0,0,co,112.892,368.819,143.9,1.9756,23,No,No,7:34,24-01-18,2017_2018,-47.85533002,-15.76182098
D09,co,22,495.227,15.226,183.56,1.593,0.24,0,0,0,0,co,112.771,416.982,115.773,2.4422,23,Yes,No,8:02,24-01-18,2017_2018,-47.85507001,-15.76146198
D10,ar,22,480.955,17.068,365.82,1.865,0.18,0,0,0,0,ar,127.638,139.786,593.907,2.5078,30,No,No,8:10,31-01-18,2017_2018,-47.87289396,-15.75443996
D11,co,18,500,11.627,381.64,3.401,0.378,0,0,0,0,co,9.408,446.99,11.245,1.48,37,No,No,7:12,07-02-18,2017_2018,-47.85280698,-15.76372703
D12,co,19,379.895,11.815,332.92,0.973,0.266,0,0,0,0,co,46.65,427.378,47.572,1.9133,37,No,No,7:38,07-02-18,2017_2018,-47.85283799,-15.76422097
D13,ar,25,610.92,14.171,674.12,2.543,0.259,0,0,1,1,ar,99.758,107.322,688.312,5.6433,52,No,No,11:28,22-02-18,2017_2018,-47.87323301,-15.75532601
D14,ar,20,550.05,15.008,231.06,1.357,0.194,0,0,1,1,ar,90.757,103.928,636.097,1.3797,58,No,No,7:14,28-02-18,2017_2018,-47.87275298,-15.75511403
D15,ar,19,412.263,15.87,61.74,1.487,0.211,0,0,1,1,ar,116.52,129.856,643.973,2.0297,58,No,No,7:53,28-02-18,2017_2018,-47.87299002,-15.75499602
D17,ar,18,530.167,13.293,1725.84,2.656,0.297,0,0,0,1,ar,56.823,66.73,715.203,2.8297,58,Yes,Yes,8:41,28-02-18,2017_2018,-47.87414999,-15.75473333
D19,ar,22,318.773,17.991,375.24,0.868,0.422,0,0,0,0,ar,160.363,170.207,609.467,2.3375,60,No,No,8:12,02-03-18,2017_2018,-47.87350098,-15.75401198
D20,ar,16,504.188,12.307,267.3,4.782,0.385,0,0,0,0,ar,123.885,133.529,635.789,0.9753,59,No,No,6:50,01-03-18,2017_2018,-47.874196,-15.75365298
D21,ar,19,440.526,13.02,567.68,0.592,0.452,0,1,0,0,ar,107.371,120.318,549.397,1.6419,59,No,No,7:30,01-03-18,2017_2018,-47.87249699,-15.75426302
D22,ar,13,435.385,14.922,877.48,0.41,0.168,0,0,1,1,ar,96.152,106.204,682.021,1.9086,59,No,No,7:46,01-03-18,2017_2018,-47.87355001,-15.75492402
D23,ar,24,319.042,7.074,0,0.278,0.133,1,0,1,1,ar,77.225,89.976,631.995,1.8931,59,Yes,Yes,7:45,01-03-19,2018_2019,-47.87262096,-15.75517698
D24,ar,53,450.906,12.806,307.66,1.66,0.443,0,0,0,0,ar,145.806,166.642,585.597,3.9764,59,No,No,9:50,01-03-19,2018_2019,-47.87382804,-15.75337102
D25,ar,25,493.52,12.744,355.62,0.256,0.398,0,0,0,0,ar,131.634,151.211,570.124,4.3931,59,No,No,10:15,01-03-19,2018_2019,-47.87410397,-15.75289099
D26,ar,50,473.68,10.456,340.58,0.418,0.416,0,0,0,0,ar,112.401,130.513,548.862,5.3931,59,No,No,11:15,01-03-19,2018_2019,-47.87440597,-15.75231599
D27,ar,13,463.385,13.541,60.2,0.432,0.082,1,0,1,1,ar,108.094,116.681,677.521,0.6053,60,No,No,6:28,02-03-19,2018_2019,-47.87321499,-15.75520699
D28,ar,24,415.708,14.246,635.48,1.128,0.089,1,0,1,1,ar,100.503,108.02,687.714,1.5719,60,No,No,7:26,02-03-19,2018_2019,-47.87322496,-15.75532601
D29,ar,41,408.902,15.171,2550.86,3.434,0.241,1,0,0,1,ar,87.676,97.739,690.818,1.8053,60,No,No,7:40,02-03-19,2018_2019,-47.873591,-15.75499903
D30,ar,19,307.895,16.043,1440.04,1.959,0.151,1,0,0,1,ar,69.869,79.881,707,2.9219,60,No,No,8:47,02-03-19,2018_2019,-47.87383198,-15.75495302
D31,ar,22,528,20.71,172.04,1.961,0.176,1,0,0,1,ar,12.388,21.691,769.59,1.7386,60,No,No,7:36,02-03-19,2018_2019,-47.87399702,-15.75562298
D32,ar,30,516.667,12.182,122.78,0.543,0.43,1,0,0,1,ar,0.72,10.643,779.729,1.5886,60,No,No,7:27,02-03-19,2018_2019,-47.87411696,-15.75563304
D33,ar,16,705.125,10.785,2022.34,0.899,0.208,1,0,0,1,ar,2.978,12.887,768.703,2.1386,60,No,No,8:00,02-03-19,2018_2019,-47.87455098,-15.75502502
D35,ar,16,399.875,7.321,192.72,1.397,0.369,0,0,0,0,ar,33.919,59.067,477.93,3.9719,60,Yes,No,9:50,02-03-19,2018_2019,-47.87178797,-15.75403201
D36,ar,23,438.826,12.497,612.12,1.582,0.378,0,0,0,0,ar,7.989,29.696,448.681,4.4719,60,No,No,10:20,02-03-19,2018_2019,-47.87262901,-15.75279904
D37,ar,12,511.917,13.352,54.067,0.598,0.128,1,0,1,0,ar,90.226,103.426,610.472,2.5431,63,No,No,8:25,05-03-19,2018_2019,-47.87270897,-15.75483802
D38,ar,20,329.8,11.32,23,2.216,0.151,1,0,1,1,ar,86.205,99.423,631.442,2.7597,63,Yes,No,8:38,05-03-19,2018_2019,-47.87271098,-15.755094
D39,ar,20,402.05,11.191,264.96,3.91,0.375,0,0,0,0,ar,102.985,126.067,545.097,3.6931,63,No,No,9:34,05-03-19,2018_2019,-47.87287099,-15.75380998
D40,ar,14,535.5,11.934,477.18,0.115,0.224,1,0,0,1,ar,0.964,10.676,760.955,1.9597,63,No,No,7:50,05-03-19,2018_2019,-47.87498198,-15.754489
D41,ar,17,475.059,20.91,1477.76,2.865,0.289,1,0,0,1,ar,58.83,68.759,714.288,1.7931,63,No,No,7:40,05-03-19,2018_2019,-47.87408897,-15.75478303
D42,ar,23,559.217,14.319,1189.3,0.283,0.322,1,0,0,1,ar,122.038,131.826,644.72,2.0931,63,No,No,7:58,05-03-19,2018_2019,-47.873907,-15.75406102
D43,ar,22,537.364,13.105,644.52,3.747,0.44,0,0,0,0,ar,130.438,153.913,572.956,4.3097,63,No,No,10:11,05-03-19,2018_2019,-47.87294199,-15.754101
D44,ar,11,419.727,9.474,703.88,1.504,0.498,0,0,0,0,ar,82.737,102.034,520.938,5.1097,63,No,No,10:59,05-03-19,2018_2019,-47.87385302,-15.75250399
D46,co,17,438.494,15.066,415.66,1.553,0.373,0,0,0,0,co,48.732,370.618,178.078,1.5225,64,No,No,7:24,06-03-19,2018_2019,-47.85789496,-15.76086201
D47,co,13,405.538,15.171,286.9,0.475,0.336,0,0,0,0,co,63.653,392.032,193.483,1.9725,64,No,No,7:51,06-03-19,2018_2019,-47.85711,-15.76077601
